Brand,Model,minQ,maxQ,maxdP,maxP,maxT,minT,inlet_size_mm,inlet_size_inch,inlet_dia,outlet_size_mm,outlet_size_inch,outlet_dia,connect_recommand,connect_possible,Fig
Danfoss,CCM 10,1.172,64.99,50,90,60,-40,15,0.5,16.7,15,0.5,16.7,ANSI 솔더 ODF. 사이즈: 5/8?,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
ANSI 솔더 ODF. 사이즈: 5/8?",CCM
Danfoss,CCM 20,2.892,137,50,90,60,-40,20,0.75,22.3,20,0.75,22.3,ANSI 솔더 ODF. 사이즈: 7/8?,"DIN-EN 버트 용접. 사이즈: 20 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 20 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 22
ANSI 솔더 ODF. 사이즈: 7/8?",CCM
Danfoss,CCM 30,8.609,202.5,50,90,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCM
Danfoss,CCM 40,14.57,330.5,50,90,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCM
Danfoss,CCMT 2,0.223,14.16,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 4,0.59,37.18,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 8,1.05,64.99,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 16,6.353,131.6,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 24,9.529,194.7,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 30,11.91,240.7,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 42,16.68,330.5,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,ETS colibri 12C-12,4.861,61.76,40,50,95,-50,12,0.5,10,12,0.5,10,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 솔더 ODF. 사이즈: 12
ANSI 솔더 ODF. 사이즈: 1/2''",ETS colibri
Danfoss,ETS colibri 12C-16,3.253,67.68,40,50,95,-50,16,0.63,14,16,0.63,14,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8''",ETS colibri
Danfoss,ETS colibri 12C-22,3.421,73.37,40,50,95,-50,22,0.88,20,22,0.88,20,ANSI 솔더 ODF. 사이즈: 7/8?,"DIN-EN 솔더 ODF. 사이즈: 22
ANSI 솔더 ODF. 사이즈: 7/8''",ETS colibri
Danfoss,ETS colibri 24C-12,7.047,86.16,40,50,95,-50,12,0.5,10,12,0.5,10,DIN-EN 솔더 ODF. 사이즈: 28,"DIN-EN 솔더 ODF. 사이즈: 12
ANSI 솔더 ODF. 사이즈: 1/2''",ETS colibri
Danfoss,ETS colibri 24C-16,8.24,93.79,40,50,95,-50,16,0.63,14,16,0.63,14,DIN-EN 솔더 ODF. 사이즈: 28,"DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8''",ETS colibri
Danfoss,ETS colibri 25C,10.09,117.9,40,50,95,-50,22,0.75,19.95,22,0.75,19.95,DIN-EN 솔더 ODF. 사이즈: 28,"DIN-EN 솔더 ODF. 사이즈: 22
ANSI 솔더 ODF. 사이즈: 7/8''",ETS colibri
Danfoss,ETS colibri 50C,12.49,223.4,40,50,95,-50,28,1.13,26.04,28,1.13,26.04,DIN-EN 솔더 ODF. 사이즈: 28,"  ANSI 솔더 ODF.   사이즈: 7/8?
  ANSI 솔더 ODF.   사이즈: 1 1/8?
  ANSI 솔더 ODF.   입구: 7/8?.   출구: 1 1/8?
  ANSI 솔더 ODF.   입구: 1 1/8?. 출구: 1 3/8?
  DIN-EN 솔더 ODF. 사이즈: 22
  DIN-EN 솔더 ODF. 사이즈: 28
  DIN-EN 솔더 ODF. 입구: 22.     출구: 28
  DIN-EN 솔더 ODF. 입구: 28.     출구: 35",ETS colibri
Danfoss,ETS colibri 100C,19,435,40,50,95,-50,35,1.38,32.13,35,1.38,35,DIN-EN 솔더 ODF. 사이즈: 28,"ANSI 솔더 ODF.   사이즈: 1 1/8?
ANSI 솔더 ODF.   사이즈: 1 3/8?
ANSI 솔더 ODF. 입구: 1 1/8?.           출구: 1 3/8?
ANSI 솔더 ODF.   사이즈: 1 5/8?
DIN-EN 솔더 ODF. 사이즈: 28
DIN-EN 솔더 ODF. 사이즈: 35
입구: DIN-EN 솔더 ODF 28. 출구: ANSI 솔더 ODF 1 3/8?",ETS colibri
Danfoss,ETS 175L-S,26.88,630.7,33,34,70,-50,42,1.13,39,42,1.13,39,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 솔더 ODF. 사이즈: 42
ANSI 솔더 ODF. 사이즈: 1 1/8?
DIN-EN 솔더 ODF. 사이즈: 35
ANSI 솔더 ODF. 사이즈: 1 3/8?
ANSI 솔더 ODF. 사이즈: 1 5/8?",ETS
Danfoss,ETS 175L-L,33.84,668.2,33,34,70,-50,42,1.13,39,42,1.13,39,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 솔더 ODF. 사이즈: 42
ANSI 솔더 ODF. 사이즈: 1 1/8?
DIN-EN 솔더 ODF. 사이즈: 35
ANSI 솔더 ODF. 사이즈: 1 3/8?
ANSI 솔더 ODF. 사이즈: 1 5/8?",ETS
Danfoss,ETS 250L-S,38.07,740.1,33,34,70,-50,42,1.13,39,42,1.13,39,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 솔더 ODF. 사이즈: 42
ANSI 솔더 ODF. 사이즈: 1 1/8?
DIN-EN 솔더 ODF. 사이즈: 35
ANSI 솔더 ODF. 사이즈: 1 3/8?
ANSI 솔더 ODF. 사이즈: 1 5/8?",ETS
Danfoss,ETS 250L-L,66.24,762.74,33,34,70,-50,42,1.13,39,42,1.13,39,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 솔더 ODF. 사이즈: 42
ANSI 솔더 ODF. 사이즈: 1 1/8?
DIN-EN 솔더 ODF. 사이즈: 35
ANSI 솔더 ODF. 사이즈: 1 3/8?
ANSI 솔더 ODF. 사이즈: 1 5/8?",ETS
Danfoss,ETS 400L-S,26.93,1138,33,34,70,-50,42,1.65,39,42,1.65,39,ANSI 솔더 ODF. 사이즈: 1 5/8?,"ANSI 솔더 ODF. 사이즈: 1 5/8?
DIN-EN 솔더 ODF. 사이즈: 54
ANSI 솔더 ODF. 사이즈: 2 1/8?",ETS
Danfoss,ETS 400L-L,50.67,1128,33,34,70,-50,42,1.65,39,42,1.65,39,ANSI 솔더 ODF. 사이즈: 1 5/8?,"ANSI 솔더 ODF. 사이즈: 1 5/8?
DIN-EN 솔더 ODF. 사이즈: 54
ANSI 솔더 ODF. 사이즈: 2 1/8?",ETS
Danfoss,ETS 500P-S,84.38,1721,33,34,65,-40,54,2.13,50.42,54,2.13,50.42,DIN-EN 솔더 ODF. 사이즈: 54,"DIN-EN 솔더 ODF. 사이즈: 54
ANSI 솔더 ODF. 사이즈: 2 1/8?",ETS
Danfoss,ETS 800P-S,146.4,2377,33,34,65,-40,79,3.13,74.8,79,3.13,74.8,ANSI 솔더 ODF. 사이즈: 3 1/8?,ANSI 솔더 ODF. 사이즈: 3 1/8?,ETS
Danfoss,ETS 6-18,1.365,8.335,35,47,70,-30,6,0.25,4,6,0.25,4,ANSI 솔더 ODF. 사이즈: 5/16?,"ANSI 솔더 ODF. 사이즈: 1/4?
ANSI 솔더 ODF. 사이즈: 5/16?
DIN-EN 솔더 ODF. 사이즈: 6",ETS6
Danfoss,ETS 6-08,0.301,1.252,35,47,70,-30,8,0.31,6,8,0.31,6,ANSI 솔더 ODF. 사이즈: 5/16?,"DIN-EN 솔더 ODF. 사이즈: 8
ANSI 솔더 ODF. 사이즈: 1/4?
ANSI 솔더 ODF. 사이즈: 5/16?",ETS6
Danfoss,ETS 6-10,0.401,2.163,35,47,70,-30,8,0.31,6,8,0.31,6,ANSI 솔더 ODF. 사이즈: 5/16?,"ANSI 솔더 ODF. 사이즈: 5/16?
DIN-EN 솔더 ODF. 사이즈: 8",ETS6
Danfoss,ETS 6-14,0.771,4.824,35,47,70,-30,8,0.31,6,8,0.31,6,ANSI 솔더 ODF. 사이즈: 5/16?,"ANSI 솔더 ODF. 사이즈: 5/16?
DIN-EN 솔더 ODF. 사이즈: 8",ETS6
